,1. open,2. high,3. low,4. close,5. volume,BTC_USD_Close
2024-05-21,71432.16000000,71980.00000000,69146.01000000,70142.84000000,16102.06132545,70142.84
2024-05-22,70142.88000000,70659.99000000,68887.52000000,69109.93000000,10889.10300904,69109.93
2024-05-23,69109.93000000,70066.95000000,66259.00000000,67940.45000000,14340.27843589,67940.45
2024-05-24,67932.79000000,69278.75000000,66587.91000000,68547.80000000,10374.95988085,68547.8
2024-05-25,68545.52000000,69605.03000000,68487.44000000,69289.67000000,2501.11901959,69289.67
2024-05-26,69289.69000000,69522.00000000,68097.38000000,68473.72000000,2037.67329089,68473.72
2024-05-27,68470.80000000,70613.39000000,68210.12000000,69368.72000000,5384.62278063,69368.72
2024-05-28,69366.31000000,69533.96000000,67194.59000000,68321.98000000,11975.93086328,68321.98
2024-05-29,68321.99000000,68864.11000000,67081.66000000,67569.45000000,8970.02059069,67569.45
2024-05-30,67569.44000000,69536.89000000,67092.91000000,68338.58000000,11841.26381893,68338.58
2024-05-31,68338.58000000,69024.71000000,66584.47000000,67472.41000000,10690.85876224,67472.41
2024-06-01,67473.07000000,67837.33000000,67371.28000000,67719.29000000,1949.57008052,67719.29
2024-06-02,67719.29000000,68411.00000000,67260.00000000,67735.52000000,2997.15241527,67735.52
2024-06-03,67731.14000000,70295.78000000,67568.00000000,68791.00000000,11884.90882705,68791.0
2024-06-04,68791.04000000,71108.90000000,68542.37000000,70542.32000000,18042.19396496,70542.32
2024-06-05,70541.68000000,71804.13000000,70356.49000000,71121.11000000,10123.18029180,71121.11
2024-06-06,71120.65000000,71650.56000000,70093.98000000,70773.64000000,7716.50799940,70773.64
2024-06-07,70773.63000000,71974.04000000,68298.55000000,69324.53000000,13768.98185265,69324.53
2024-06-08,69326.71000000,69546.58000000,69126.22000000,69304.05000000,2631.94610412,69304.05
2024-06-09,69303.80000000,69848.94000000,69123.99000000,69637.87000000,1826.03995531,69637.87
2024-06-10,69641.08000000,70187.53000000,69141.51000000,69497.73000000,6088.40363232,69497.73
2024-06-11,69495.97000000,69547.82000000,66018.69000000,67316.53000000,17354.68915468,67316.53
2024-06-12,67316.52000000,70032.00000000,66883.32000000,68248.60000000,17140.01139413,68248.6
2024-06-13,68248.59000000,68474.49000000,66200.00000000,66738.85000000,11916.13211129,66738.85
2024-06-14,66746.46000000,67322.72000000,65005.00000000,66004.39000000,11520.15791899,66004.39
2024-06-15,66004.36000000,66428.57000000,65800.86000000,66192.00000000,2004.14215480,66192.0
2024-06-16,66192.00000000,66931.18000000,65999.00000000,66628.75000000,2118.65163435,66628.75
2024-06-17,66629.38000000,67274.96000000,65050.00000000,66481.81000000,14487.64060903,66481.81
2024-06-18,66481.81000000,66574.33000000,64010.01000000,65152.80000000,15937.73176483,65152.8
2024-06-19,65150.90000000,65709.26000000,64635.48000000,64943.79000000,4958.38361329,64943.79
2024-06-20,64945.67000000,66455.52000000,64500.00000000,64840.88000000,9346.70807899,64840.88
2024-06-21,64840.89000000,65017.10000000,63300.93000000,64120.28000000,9816.79599936,64120.28
2024-06-22,64120.28000000,64523.91000000,63910.01000000,64235.01000000,2324.21500373,64235.01
2024-06-23,64235.00000000,64499.95000000,63125.75000000,63171.43000000,2054.79092364,63171.43
2024-06-24,63169.36000000,63343.91000000,58414.28000000,60263.00000000,21418.04594647,60263.0
2024-06-25,60262.16000000,62400.00000000,60217.36000000,61789.71000000,15201.58247730,61789.71
2024-06-26,61794.47000000,62470.00000000,60656.80000000,60816.68000000,11392.79835017,60816.68
2024-06-27,60818.86000000,62346.16000000,60546.94000000,61615.39000000,10530.35898848,61615.39
2024-06-28,61611.43000000,62170.62000000,59868.00000000,60313.35000000,11381.02587380,60313.35
2024-06-29,60312.36000000,61122.66000000,60273.80000000,60885.67000000,3199.03650127,60885.67
2024-06-30,60884.44000000,62942.67000000,60611.01000000,62668.26000000,4263.22924826,62668.26
2024-07-01,62669.14000000,63801.26000000,62448.46000000,62830.13000000,12326.70696465,62830.13
2024-07-02,62830.94000000,63223.57000000,61000.00000000,62040.22000000,10688.64132628,62040.22
2024-07-03,62039.44000000,62197.01000000,59332.76000000,60145.01000000,12066.71677065,60145.01
2024-07-04,60145.01000000,60429.27000000,56709.73000000,57042.14000000,17969.35692426,57042.14
2024-07-05,57036.45000000,57515.60000000,53499.90000000,56639.43000000,28052.41501655,56639.43
2024-07-06,56634.53000000,58481.97000000,56020.32000000,58244.75000000,6449.32501293,58244.75
2024-07-07,58240.36000000,58448.89000000,55717.23000000,55854.09000000,5320.91645368,55854.09
2024-07-08,55852.61000000,58200.00000000,54278.93000000,56699.43000000,19043.04861272,56699.43
2024-07-09,56701.18000000,58295.31000000,56276.37000000,58047.86000000,11757.76025902,58047.86
2024-07-10,58047.86000000,59481.93000000,57157.28000000,57712.59000000,11619.63229345,57712.59
2024-07-11,57713.40000000,59533.06000000,57036.41000000,57340.77000000,11433.53379518,57340.77
2024-07-12,57343.66000000,58550.00000000,56538.33000000,57909.03000000,10516.60400149,57909.03
2024-07-13,57908.61000000,59875.00000000,57770.92000000,59224.58000000,4255.10545721,59224.58
2024-07-14,59224.58000000,61428.67000000,59209.20000000,60808.42000000,6132.37403058,60808.42
2024-07-15,60804.97000000,64943.61000000,60666.59000000,64757.16000000,20601.73387957,64757.16
2024-07-16,64757.16000000,65405.89000000,62410.33000000,65088.99000000,14691.92002303,65088.99
2024-07-17,65086.55000000,66139.00000000,63853.99000000,64085.81000000,10647.79709095,64085.81
2024-07-18,64085.82000000,65130.88000000,63222.60000000,63982.86000000,7637.52760383,63982.86
2024-07-19,63977.64000000,67504.22000000,63289.15000000,66707.61000000,15163.05745737,66707.61
2024-07-20,66707.61000000,67635.00000000,66271.00000000,67163.83000000,4671.38885135,67163.83
